Supermarket,Category,Product Title,Product Price,Base Price,Per unit,Product URL
Woolworths,Meat and Seafood,Woolworths 6 Beef Sausages 505g,7.0,13.86,1KG,https://www.woolworths.com.au/shop/productdetails/901510/woolworths-6-beef-sausages
Woolworths,Meat and Seafood,Primo Shortcut Rindless Bacon 750g,12.5,16.67,1KG,https://www.woolworths.com.au/shop/productdetails/235782/primo-shortcut-rindless-bacon-bacon
Woolworths,Meat and Seafood,Don Premium Smokehouse Ham Shaved From The Deli per kg,28.0,28.0,1KG,https://www.woolworths.com.au/shop/productdetails/67486/don-premium-smokehouse-ham-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Beef Oyster Blade Steak 600g,16.0,26.67,1KG,https://www.woolworths.com.au/shop/productdetails/675479/woolworths-beef-oyster-blade-steak
Woolworths,Meat and Seafood,Woolworths Pork Fillet Heart Smart 250g - 600g,12.6,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/675671/woolworths-pork-fillet-heart-smart
Woolworths,Meat and Seafood,Woolworths Beef Bolar Blade Roast 900g - 2kg,28.0,14.0,1KG,https://www.woolworths.com.au/shop/productdetails/764567/woolworths-beef-bolar-blade-roast
Woolworths,Meat and Seafood,Macro Grass Fed Beef Porterhouse Steaks 2 Pack 400g,22.0,55.0,1KG,https://www.woolworths.com.au/shop/productdetails/285094/macro-grass-fed-beef-porterhouse-steaks-2-pack
Woolworths,Meat and Seafood,Woolworths Pork & Veal Meatballs 400g,8.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/822439/woolworths-pork-veal-meatballs
Woolworths,Meat and Seafood,Woolworths Gourmet Pork Sausages Italian Style With Fennel & Garlic 450g,9.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/898511/woolworths-gourmet-pork-sausages-italian-style-with-fennel-garlic
Woolworths,Meat and Seafood,Woolworths Cook Marinated Lamb Steaks With Thyme Pepper & Garlic 270g,8.5,31.48,1KG,https://www.woolworths.com.au/shop/productdetails/83534/woolworths-cook-marinated-lamb-steaks-with-thyme-pepper-garlic
